FIPS,Walkability_Index,Obesity_Rate,Fast_Food_Per_1000,Log_Fast_Food
1001,5.23437500003125,38.3,0.801496148,0.5886175129855733
1003,6.45035460997872,38.3,0.750151575,0.5597023984703363
1005,5.18840579717391,38.3,0.976046205,0.6810979821494617
1007,5.03333333333333,38.3,0.316226959,0.27476927927959494
1009,4.66666666665714,38.3,0.414658159,0.3468879181635642
1011,3.97619047628571,38.3,0.300721735,0.26291929118089513
1013,4.95614035073684,38.3,1.076702237,0.7307811725559883
1015,5.67032967031868,38.3,0.916549921,0.6505266535034037
1017,5.62121212124242,38.3,0.973680198,0.6798999207945248
1019,4.19298245615789,38.3,0.684566796,0.5215084363878862
1021,4.96111111103333,38.3,0.608149171,0.47508393448891245
1023,3.94444444453333,38.3,0.644226134,0.4972698382695942
1025,4.98611111104167,38.3,1.159246087,0.7697591269733046
1027,3.97435897430769,38.3,0.381330073,0.32304685600636396
1029,4.60606060609091,38.3,0.534509242,0.4282106178682493
1031,5.68686868687879,38.3,0.920533538,0.6526030318119785
1033,6.74275362321739,38.3,0.992582679,0.6894316259279849
1035,4.4444444445,38.3,0.67504853,0.5158421379916449
1039,5.27631578955263,38.3,0.866504192,0.6240672652847932
1041,4.7833333334,38.3,0.51165849,0.4132073858435675
1043,5.3306451611129,38.3,0.816423118,0.596869247533492
1045,5.41860465111628,38.3,0.612757623,0.47794552312808053
1047,6.08974358969231,38.3,0.692559123,0.5262416575427695
1049,5.06603773579245,38.3,0.544251859,0.43453955941377176
1051,5.21739130441304,38.3,0.632926822,0.49037400098179074
1053,5.83333333336667,38.3,0.88200438,0.6323373684718506
1055,6.23895582319277,38.3,0.830313265,0.6044871352632907
1057,4.13888888905556,38.3,0.554153085,0.44093075738964543
1059,4.83333333330769,38.3,0.507823646,0.41066731712374954
1061,4.88194444433333,38.3,0.567945182,0.4497659608579013
1065,4.56410256415385,38.3,0.408997953,0.34287878011208117
1067,4.1770833333125,38.3,0.638680816,0.49389153766072735
1069,6.67857142861429,38.3,1.135297418,0.7586059428332292
1071,4.803030303,38.3,0.63975805,0.4945487004646093
1073,9.84781209782239,38.3,1.040678024,0.7132821173410938
1075,4.8750000000625,38.3,0.508573115,0.41116424711990457
1077,6.31735159826027,38.3,0.82469368,0.6014121263712995
1079,3.75806451616129,38.3,0.517393529,0.41699407938130895
1081,6.38961038961039,38.3,0.911101639,0.647679850133696
1083,5.13565891472093,38.3,0.479320735,0.39158301958250513
1087,4.63333333335,38.3,0.72645992,0.5460730229824436
1089,8.44502617802094,38.3,0.956640244,0.6712288411624884
1091,5.25694444425,38.3,1.067634702,0.7264052979094847
1093,4.89880952371429,38.3,0.908999085,0.6465790654349572
1095,5.74615384610769,38.3,0.96917206,0.6776131802983053
1097,7.11710037179182,38.3,0.780197501,0.576724313766852
1099,4.30158730157143,38.3,0.537660658,0.4302622082476518
