"","GEOID10","NatWalkInd","County"
"153","05083",4.99999999994118,"Logan"
"154","05085",5.51315789471053,"Lonoke"
"155","05087",4.24358974369231,"Madison"
"156","05089",4.54761904771429,"Marion"
"157","05091",6.34210526310526,"Miller"
"158","05093",6.24418604648837,"Mississippi"
"159","05095",5.44444444455556,"Monroe"
"160","05097",4.3958333335,"Montgomery"
"161","05099",4.270833333375,"Nevada"
"162","05101",4.30952380971429,"Newton"
"163","05103",5.80128205142308,"Ouachita"
"164","05105",4.44444444455556,"Perry"
"165","05107",6.27083333333333,"Phillips"
"166","05109",5.49999999988889,"Pike"
"167","05111",5.4782608696087,"Poinsett"
"168","05113",5.333333333375,"Polk"
"169","05115",6.39393939412121,"Pope"
"170","05117",5.5166666667,"Prairie"
"171","05119",10.5269186714536,"Pulaski"
"172","05121",4.63541666675,"Randolph"
"173","05123",5.06790123459259,"St. Francis"
"174","05125",5.78688524590164,"Saline"
"175","05127",4.25925925933333,"Scott"
"176","05129",4.1999999999,"Searcy"
"177","05131",7.54838709663441,"Sebastian"
"178","05133",5.53030303,"Sevier"
"179","05135",5.20370370377778,"Sharp"
"180","05137",4.9999999996,"Stone"
"181","05139",6.34146341458537,"Union"
"182","05141",4.56410256423077,"Van Buren"
"183","05143",8.00150150168468,"Washington"
"184","05145",5.97101449286956,"White"
"185","05147",4.979166666625,"Woodruff"
"186","05149",4.81372549017647,"Yell"
"187","06001",14.1388092963658,"Alameda"
"188","06003",4.8333333335,"Alpine"
"189","06005",6.53571428546429,"Amador"
"190","06007",7.05897435887179,"Butte"
"191","06009",6.38333333343333,"Calaveras"
"192","06011",6.65000000075,"Colusa"
"193","06013",11.4921507065212,"Contra Costa"
"194","06015",8.69166666685,"Del Norte"
"195","06017",8.37066666692,"El Dorado"
"196","06019",11.1188455006689,"Fresno"
"197","06021",6.39855072482609,"Glenn"
"198","06023",10.5540123458704,"Humboldt"
"199","06025",8.56944444448958,"Imperial"
"200","06027",6.906250000125,"Inyo"
"201","06029",10.323099415386,"Kern"
"202","06031",10.8251028808642,"Kings"
"203","06033",9.44097222229167,"Lake"
"204","06035",7.74,"Lassen"
"205","06037",13.5723476005516,"Los Angeles"
"206","06039",8.916666666775,"Madera"
"207","06041",11.8999999996343,"Marin"
"208","06043",4.83333333341176,"Mariposa"
"209","06045",9.01687763731646,"Mendocino"
"210","06047",10.9525462962986,"Merced"
"211","06049",6.81944444416667,"Modoc"
"212","06051",9.80392156847059,"Mono"
"213","06053",11.8791130190343,"Monterey"
"214","06055",8.12735849066038,"Napa"
"215","06057",7.78666666654667,"Nevada"
"216","06059",13.1737063448634,"Orange"
"217","06061",10.2308294209577,"Placer"
"218","06063",7.97727272713636,"Plumas"
"219","06065",10.729288026032,"Riverside"
"220","06067",12.5303362573607,"Sacramento"
"221","06069",10.4208333331,"San Benito"
"222","06071",10.9180402930833,"San Bernardino"
"223","06073",12.1866295264981,"San Diego"
"224","06075",15.9572576018812,"San Francisco"
"225","06077",11.0569620251924,"San Joaquin"
"226","06079",10.7443762782577,"San Luis Obispo"
"227","06081",10.0694744421749,"San Mateo"
"228","06083",10.4957401491949,"Santa Barbara"
"229","06085",13.55488372092,"Santa Clara"
"230","06087",11.9770408163112,"Santa Cruz"
"231","06089",8.93765903314504,"Shasta"
"232","06091",5.1,"Sierra"
"233","06093",8.58108108086486,"Siskiyou"
"234","06095",12.2239766081333,"Solano"
"235","06097",10.8634797590207,"Sonoma"
"236","06099",12.0227272730455,"Stanislaus"
"237","06101",10.7956989250484,"Sutter"
"238","06103",8.41472868186047,"Tehama"
"239","06105",5.87179487176923,"Trinity"
"240","06107",7.35617283958889,"Tulare"
"241","06109",6.30208333335417,"Tuolumne"
"242","06111",11.6914728683605,"Ventura"
"243","06113",12.9289617487705,"Yolo"
"244","06115",9.61564625828571,"Yuba"
"245","08001",12.0384615386,"Adams"
"246","08003",7.70000000073333,"Alamosa"
"247","08005",12.3986928104951,"Arapahoe"
